timestamp,objectID,startX,startY,endX,endY
2026-01-06T08:12:34.329489,8,0,1,510,509
2026-01-06T08:12:34.435500,8,0,1,510,509
2026-01-06T08:12:34.547068,8,1,4,509,510
2026-01-06T08:12:34.657674,8,0,1,510,509
2026-01-06T08:12:34.768478,8,0,1,510,509
2026-01-06T08:12:34.879643,8,0,1,509,511
2026-01-06T08:12:35.004002,8,0,1,510,510
2026-01-06T08:12:35.098951,8,0,2,510,510
2026-01-06T08:12:35.223467,8,0,1,509,509
2026-01-06T08:12:35.345863,8,1,4,509,510
2026-01-06T08:12:35.440639,8,0,1,509,509
2026-01-06T08:12:35.549881,8,1,3,510,510
2026-01-06T08:12:35.643933,8,0,2,510,510
2026-01-06T08:12:35.755359,8,0,2,510,510
2026-01-06T08:12:35.883256,8,0,1,509,509
2026-01-06T08:12:35.987063,8,0,1,509,509
2026-01-06T08:12:36.082166,8,1,5,509,509
2026-01-06T08:12:36.204321,8,1,6,509,509
2026-01-06T08:12:36.314249,8,0,2,510,510
2026-01-06T08:12:36.422764,8,1,3,511,510
2026-01-06T08:12:36.547420,8,1,4,510,510
2026-01-06T08:12:36.670828,8,0,1,509,510
2026-01-06T08:12:36.797946,8,1,5,510,509
2026-01-06T08:12:36.908422,8,1,5,509,510
2026-01-06T08:12:37.016238,8,1,5,509,510
2026-01-06T08:12:37.138857,8,0,2,510,510
2026-01-06T08:12:37.294981,8,1,5,509,510
2026-01-06T08:12:37.419378,8,1,5,509,510
2026-01-06T08:12:37.542345,8,0,2,510,509
2026-01-06T08:12:37.669869,8,1,5,509,510
2026-01-06T08:12:37.757890,8,0,1,510,509
2026-01-06T08:12:37.869391,8,1,5,509,510
2026-01-06T08:12:37.977170,8,1,5,509,510
2026-01-06T08:12:38.073265,8,1,6,509,509
2026-01-06T08:12:38.166327,8,1,6,509,509
2026-01-06T08:12:38.275168,8,1,6,509,509
2026-01-06T08:12:38.367526,8,1,5,509,510
2026-01-06T08:12:38.463949,8,0,5,509,511
2026-01-06T08:12:38.556313,8,0,5,509,510
2026-01-06T08:12:38.650391,8,1,3,509,509
2026-01-06T08:12:38.745841,8,0,1,510,509
2026-01-06T08:12:38.871177,8,0,1,510,509
2026-01-06T08:12:38.965897,8,0,2,509,510
2026-01-06T08:12:39.076284,8,1,4,510,510
2026-01-06T08:12:39.203806,8,0,1,510,510
2026-01-06T08:12:39.325652,8,0,1,510,510
2026-01-06T08:12:39.421731,8,0,5,509,511
2026-01-06T08:12:39.545274,8,1,5,510,509
2026-01-06T08:12:39.671906,8,1,5,509,510
2026-01-06T08:12:39.795148,8,1,5,509,510
2026-01-06T08:12:39.920114,8,1,5,509,510
2026-01-06T08:12:40.032362,8,1,6,509,510
2026-01-06T08:12:40.140725,8,1,3,510,510
2026-01-06T08:12:40.264207,8,1,3,510,510
2026-01-06T08:12:40.385388,8,1,4,510,510
2026-01-06T08:12:40.479467,8,1,4,509,510
2026-01-06T08:12:40.587138,8,1,4,510,510
2026-01-06T08:12:40.699064,8,0,3,509,511
2026-01-06T08:12:40.805999,8,0,2,509,510
2026-01-06T08:12:40.898857,8,0,3,509,511
2026-01-06T08:12:40.994913,8,0,2,510,510
2026-01-06T08:12:41.115974,8,0,2,510,510
2026-01-06T08:12:41.225782,8,0,2,510,510
2026-01-06T08:12:41.336128,8,0,1,509,509
2026-01-06T08:12:41.459845,8,0,1,509,509
2026-01-06T08:12:41.552883,8,0,1,510,509
2026-01-06T08:12:41.647010,8,0,1,510,510
2026-01-06T08:12:41.741807,8,0,1,509,509
2026-01-06T08:12:41.833469,8,0,1,510,509
2026-01-06T08:12:41.927192,8,0,1,510,509
2026-01-06T08:12:42.020878,8,0,1,509,510
2026-01-06T08:12:42.114664,8,0,2,510,509
2026-01-06T08:12:42.222716,8,0,1,510,509
2026-01-06T08:12:42.332351,8,0,1,510,509
2026-01-06T08:12:42.457343,8,0,1,510,509
2026-01-06T08:12:42.579975,8,0,1,509,509
2026-01-06T08:12:42.675728,8,0,1,510,509
2026-01-06T08:12:42.782419,8,0,2,510,510
2026-01-06T08:12:42.876140,8,0,1,509,509
2026-01-06T08:12:42.987503,8,0,1,510,510
2026-01-06T08:12:43.095004,8,0,2,510,511
2026-01-06T08:12:43.190930,8,0,1,510,509
2026-01-06T08:12:43.314000,8,0,2,510,509
2026-01-06T08:12:43.406989,8,0,2,510,511
2026-01-06T08:12:43.500652,8,0,2,510,511
2026-01-06T08:12:43.593348,8,0,1,510,509
2026-01-06T08:12:43.686972,8,0,1,510,509
2026-01-06T08:12:43.781343,8,0,1,510,510
2026-01-06T08:12:43.875747,8,0,1,510,509
2026-01-06T08:12:43.968819,8,0,1,510,510
2026-01-06T08:12:44.061817,8,0,1,510,510
2026-01-06T08:12:44.172245,8,0,1,510,511
2026-01-06T08:12:44.266149,8,0,1,509,510
2026-01-06T08:12:44.375912,8,0,1,509,510
2026-01-06T08:12:44.472019,8,0,1,510,510
2026-01-06T08:12:44.580479,8,0,1,510,510
2026-01-06T08:12:44.658900,8,0,2,510,510
2026-01-06T08:12:44.768119,8,0,2,510,510
2026-01-06T08:12:44.860747,8,0,2,510,510
2026-01-06T08:12:44.969663,8,0,1,510,510
2026-01-06T08:12:45.062946,8,0,2,510,510
2026-01-06T08:12:45.174124,8,0,2,510,510
2026-01-06T08:12:45.266037,8,0,2,511,509
2026-01-06T08:12:45.378481,8,0,2,510,510
2026-01-06T08:12:45.471896,8,0,2,510,510
2026-01-06T08:12:45.565783,8,0,2,510,509
2026-01-06T08:12:45.657377,8,0,2,510,510
2026-01-06T08:12:45.751927,8,0,2,510,510
2026-01-06T08:12:45.860076,8,0,2,510,510
2026-01-06T08:12:45.968430,8,0,2,510,510
2026-01-06T08:12:46.062241,8,0,2,510,510
2026-01-06T08:12:46.155046,8,0,2,510,509
2026-01-06T08:12:46.251901,8,0,1,510,509
2026-01-06T08:12:46.344943,8,0,1,510,509
2026-01-06T08:12:46.439330,8,0,2,510,509
2026-01-06T08:12:46.561785,8,0,2,510,509
2026-01-06T08:12:46.658083,8,0,1,510,510
2026-01-06T08:12:46.767796,8,0,2,510,509
2026-01-06T08:12:46.863080,8,0,2,510,510
2026-01-06T08:12:46.957522,8,0,2,510,510
2026-01-06T08:12:47.048310,8,0,2,510,509
2026-01-06T08:12:47.144263,8,0,2,510,510
2026-01-06T08:12:47.237914,8,0,2,510,509
2026-01-06T08:12:47.330417,8,0,2,510,509
2026-01-06T08:12:47.425938,8,0,2,510,509
2026-01-06T08:12:47.521353,8,0,2,510,509
2026-01-06T08:12:47.630308,8,0,2,510,510
2026-01-06T08:12:47.725687,8,0,2,510,510
2026-01-06T08:12:47.818232,8,0,2,510,510
2026-01-06T08:12:47.912045,8,0,2,510,509
2026-01-06T08:12:48.011499,8,0,2,510,509
2026-01-06T08:12:48.115187,8,0,2,510,509
2026-01-06T08:12:48.225739,8,0,2,510,509
2026-01-06T08:12:48.318370,8,0,2,510,510
2026-01-06T08:12:48.413322,8,0,2,510,510
2026-01-06T08:12:48.506642,8,0,2,510,510
2026-01-06T08:12:48.600936,8,0,2,510,509
2026-01-06T08:12:48.710905,8,0,3,509,511
2026-01-06T08:12:48.820407,8,0,2,510,510
2026-01-06T08:12:48.913457,8,0,2,510,510
2026-01-06T08:12:49.021650,8,0,3,510,509
2026-01-06T08:12:49.117256,8,0,2,510,510
2026-01-06T08:12:49.211808,8,0,2,510,510
2026-01-06T08:12:49.305219,8,0,2,510,510
2026-01-06T08:12:49.398413,8,0,2,510,510
2026-01-06T08:12:49.492617,8,0,2,510,510
2026-01-06T08:12:49.587044,8,0,2,510,510
2026-01-06T08:12:49.680552,8,0,2,510,510
2026-01-06T08:12:49.774232,8,0,2,510,509
2026-01-06T08:12:49.884690,8,0,2,510,509
2026-01-06T08:12:49.977585,8,0,2,510,509
2026-01-06T08:12:50.087976,8,0,2,510,509
2026-01-06T08:12:50.178387,8,0,2,510,509
2026-01-06T08:12:50.288058,8,0,2,510,509
2026-01-06T08:12:50.380426,8,0,2,510,509
2026-01-06T08:12:50.474479,8,0,2,510,509
2026-01-06T08:12:50.569044,8,0,2,510,510
2026-01-06T08:12:50.663001,8,0,2,510,510
2026-01-06T08:12:50.757376,8,0,2,510,510
2026-01-06T08:12:50.849387,8,0,2,510,510
2026-01-06T08:12:50.946026,8,0,2,510,510
2026-01-06T08:12:51.039319,8,0,2,510,510
2026-01-06T08:12:51.147211,8,0,2,510,510
2026-01-06T08:12:51.238742,8,0,2,510,510
2026-01-06T08:12:51.345023,8,0,2,510,510
2026-01-06T08:12:51.438217,8,0,2,510,510
2026-01-06T08:12:51.532896,8,0,2,510,510
2026-01-06T08:12:51.624451,8,0,1,510,509
2026-01-06T08:12:51.719946,8,0,2,510,509
2026-01-06T08:12:51.813370,8,0,2,510,510
2026-01-06T08:12:51.904712,8,0,2,510,509
2026-01-06T08:12:51.999394,8,0,2,510,510
2026-01-06T08:12:52.089155,8,0,2,510,510
2026-01-06T08:12:52.182847,8,0,2,510,510
2026-01-06T08:12:52.275006,8,0,2,510,509
2026-01-06T08:12:52.369163,8,0,2,510,509
2026-01-06T08:12:52.478580,8,0,2,510,509
2026-01-06T08:12:52.572573,8,0,2,510,510
2026-01-06T08:12:52.666060,8,0,2,510,509
2026-01-06T08:12:52.758330,8,0,3,509,511
2026-01-06T08:12:52.867499,8,0,2,510,510
2026-01-06T08:12:52.961944,8,0,2,510,509
2026-01-06T08:12:53.068569,8,0,2,510,509
2026-01-06T08:12:53.162019,8,0,3,509,510
2026-01-06T08:12:53.270193,8,0,2,510,509
2026-01-06T08:12:53.362628,8,0,3,510,511
2026-01-06T08:12:53.471643,8,0,2,510,510
2026-01-06T08:12:53.563382,8,0,1,510,510
2026-01-06T08:12:53.656079,8,0,1,510,510
2026-01-06T08:12:53.749781,8,1,2,510,511
2026-01-06T08:12:53.844188,8,0,3,510,510
2026-01-06T08:12:53.935901,8,1,3,509,510
2026-01-06T08:12:54.028979,8,1,3,510,510
2026-01-06T08:12:54.134797,8,1,3,510,510
2026-01-06T08:12:54.227819,8,0,2,510,509
2026-01-06T08:12:54.335410,8,0,2,510,509
2026-01-06T08:12:54.441818,8,0,2,510,509
2026-01-06T08:12:54.532676,8,0,2,510,510
2026-01-06T08:12:54.625615,8,0,1,510,509
2026-01-06T08:12:54.738558,8,0,1,510,509
2026-01-06T08:12:54.856816,8,0,1,510,509
2026-01-06T08:12:54.948289,8,0,2,510,510
2026-01-06T08:12:55.057191,8,0,1,510,510
2026-01-06T08:12:55.152554,8,0,2,510,510
2026-01-06T08:12:55.262937,8,0,2,509,509
2026-01-06T08:12:55.354351,8,0,2,510,509
2026-01-06T08:12:55.462588,8,0,2,510,509
2026-01-06T08:12:55.568899,8,0,2,510,509
2026-01-06T08:12:55.659691,8,0,2,510,510
2026-01-06T08:12:55.752013,8,0,2,510,510
2026-01-06T08:12:55.862955,8,0,2,510,510
2026-01-06T08:12:55.983174,8,0,2,509,510
2026-01-06T08:12:56.079568,8,0,2,510,511
2026-01-06T08:12:56.189610,8,0,2,510,511
2026-01-06T08:12:56.299374,8,0,2,510,510
2026-01-06T08:12:56.392994,8,0,2,510,509
2026-01-06T08:12:56.486746,8,0,2,510,509
2026-01-06T08:12:56.596547,8,0,48,510,510
2026-01-06T08:12:56.687971,8,0,32,510,510
2026-01-06T08:12:56.782108,8,1,4,511,510
2026-01-06T08:12:56.875114,8,1,3,511,510
2026-01-06T08:12:56.968175,8,1,3,511,510
2026-01-06T08:12:57.061386,8,1,3,511,510
2026-01-06T08:12:57.154310,8,0,0,511,510
2026-01-06T08:12:57.247372,8,0,1,510,511
2026-01-06T08:12:57.339669,8,0,1,510,511
2026-01-06T08:12:57.448154,8,0,1,510,511
2026-01-06T08:12:57.540464,8,0,1,511,510
2026-01-06T08:12:57.649077,8,0,1,511,511
2026-01-06T08:12:57.742878,8,1,0,510,510
2026-01-06T08:12:57.852202,8,0,1,510,510
2026-01-06T08:12:57.947048,8,0,0,511,509
2026-01-06T08:12:58.054569,8,0,0,511,509
2026-01-06T08:12:58.149233,8,0,0,511,509
2026-01-06T08:12:58.243611,8,0,0,510,509
2026-01-06T08:12:58.337368,8,0,1,510,511
2026-01-06T08:12:58.447862,8,0,1,510,510
2026-01-06T08:12:58.540449,8,0,1,511,511
2026-01-06T08:12:58.649494,8,0,1,511,511
2026-01-06T08:12:58.742036,8,0,0,511,509
2026-01-06T08:12:58.851243,8,0,1,510,508
2026-01-06T08:12:58.948608,8,0,0,511,510
2026-01-06T08:12:59.056090,8,0,0,510,508
2026-01-06T08:12:59.149173,8,0,1,511,509
2026-01-06T08:12:59.243476,8,0,1,511,509
2026-01-06T08:12:59.337554,8,0,1,510,511
2026-01-06T08:12:59.450144,8,0,1,511,509
2026-01-06T08:12:59.575746,8,0,1,510,510
2026-01-06T08:12:59.683272,8,0,2,511,510
2026-01-06T08:12:59.776838,8,0,1,510,510
2026-01-06T08:12:59.873893,8,0,2,510,510
2026-01-06T08:12:59.977014,8,0,1,510,510
2026-01-06T08:13:00.070870,8,0,1,510,510
2026-01-06T08:13:00.180382,8,0,0,510,509
2026-01-06T08:13:00.272876,8,0,1,510,509
2026-01-06T08:13:00.366896,8,0,1,510,510
2026-01-06T08:13:00.461857,8,0,1,510,509
2026-01-06T08:13:00.571034,8,0,1,510,509
2026-01-06T08:13:00.664605,8,0,0,510,511
2026-01-06T08:13:00.772550,8,0,1,509,509
2026-01-06T08:13:00.866206,8,0,1,510,509
2026-01-06T08:13:00.976025,8,0,1,509,509
2026-01-06T08:13:01.068261,8,0,1,509,510
2026-01-06T08:13:01.161309,8,0,1,509,510
2026-01-06T08:13:01.254210,8,0,1,509,510
2026-01-06T08:13:01.364076,8,0,1,510,510
2026-01-06T08:13:01.457188,8,1,2,510,510
2026-01-06T08:13:01.566991,8,0,1,510,510
2026-01-06T08:13:01.659822,8,0,1,510,509
2026-01-06T08:13:01.755628,8,0,1,510,509
2026-01-06T08:13:01.848499,8,0,1,510,510
2026-01-06T08:13:01.941657,8,0,1,510,509
2026-01-06T08:13:02.036773,8,0,1,510,510
2026-01-06T08:13:02.129109,8,0,1,510,510
2026-01-06T08:13:02.222702,8,0,1,510,509
2026-01-06T09:00:00,99,1,2,3,4
2026-01-06T09:00:01,99,1,2,3,4
2026-01-06T09:00:02,99,1,2,3,4
2026-01-06T09:00:03,99,1,2,3,4
2026-01-06T09:00:04,99,1,2,3,4
2026-01-06T09:00:05,99,1,2,3,4
2026-01-06T09:00:06,99,1,2,3,4
2026-01-06T09:00:07,99,1,2,3,4
2026-01-06T09:00:08,99,1,2,3,4
2026-01-06T09:00:09,99,1,2,3,4
2026-01-06T09:00:10,99,1,2,3,4
2026-01-06T09:00:11,99,1,2,3,4
2026-01-06T09:00:12,99,1,2,3,4
2026-01-06T09:00:13,99,1,2,3,4
2026-01-06T09:00:14,99,1,2,3,4
2026-01-06T09:00:15,99,1,2,3,4
2026-01-06T09:00:16,99,1,2,3,4
2026-01-06T09:00:17,99,1,2,3,4
2026-01-06T09:00:18,99,1,2,3,4
2026-01-06T09:00:19,99,1,2,3,4
2026-01-06T09:00:20,99,1,2,3,4
2026-01-06T09:00:21,99,1,2,3,4
2026-01-06T09:00:22,99,1,2,3,4
2026-01-06T09:00:23,99,1,2,3,4
2026-01-06T09:00:24,99,1,2,3,4
2026-01-06T09:00:25,99,1,2,3,4
2026-01-06T09:00:26,99,1,2,3,4
2026-01-06T09:00:27,99,1,2,3,4
2026-01-06T09:00:28,99,1,2,3,4
2026-01-06T09:00:29,99,1,2,3,4
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
